,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,Phone,School Website,Median starting salary of alumni ,Selectivity,Fall 2020 acceptance rate,Application deadline,SAT/ACT scores must be received by,Student-faculty ratio,4-year graduation rate,Total enrollment,Collegiate athletic association,Tuition and fees,Room and board,Students who have cars on campus,Health insurance offered,Score (out of 100),Average 6-year graduation rate (17.6%),6-year graduation rate of students who received a Pell Grant (2.5%),6-year graduation rate of students who did not receive a Pell Grant (2.5%),Classes with fewer than 20 students,Classes with 50 or more students,Student-faculty ratio (1%),Admission interview,Required standardized tests,Early decision deadline,Application fee,Common Application accepted,Deadline for housing deposit,Acceptance rate,Early decision acceptance rate,Accepting applications,Minimum credits to apply,Minimum required college GPA,Has guaranteed admission agreement with at least one other institution,Guaranteed admission agreement URL,Separate application form required,Conditional admission offered,Early decision or early action options available,TOEFL (paper),TOEFL (internet-based),Michigan Test,IELTS,SAT,ACT,Advance deposit required,TOEFL accepted instead of SAT or ACT,International student contact,Degrees offered,Combined-degree programs,Online bachelor's degree program offered,General education/core curriculum required,Awarded Pell Grants (2019-2020),Enrolled students who are veterans or active service members,Students living on- and off-campus,Air Force ROTC,Army ROTC,Navy ROTC,Net price for federal loan recipients (2018-2019) ,Go to this school's net price calculator,Institution is G.I. Bill certified,Institution participates in Yellow Ribbon Program,Typical total federal loan debt after graduation ,Typical total federal loan debt among those who did not graduate ,Typical monthly loan payment ,Undergraduates paying down their federal loan debt ,Average total indebtedness of 2020 graduating class,"Graduating students who have borrowed (any loan type, 2020)",Campus size (acres),Alcohol permitted on campus for students of legal age,Career services offered,Basic student services offered,Campus safety and security services offered,Computers available for student use in,On-campus library,Museums or special academic buildings on campus,Services for LD students,Services for physically disabled students,Accessibility of campus to physically disabled students,SATs on 1600 scale,Undergraduate men who are members of a fraternity,Undergraduate women who are members of a sorority,By major,Ten most popular majors for 2020 graduates,In-state tuition and fees,Out-of-state tuition and fees,Class Sizes,Classes with fewer than 20 students ,Classes with 50 or more students ,Class sizes,,Student participation in special academic programs,Fall 2020 acceptance rate ,Student-faculty ratio ,Student Gender Distribution,Average 6-year graduation rate (17.6%) ,Student-faculty ratio (1%) ,Acceptance rate ,Full-time faculty gender distribution,Part-time faculty gender distribution,Degree-seeking student gender distribution,Types of campus housing available,Total graduate enrollment,Median starting salary of alumni
10,"Private, Coed",1876,None,Semester,Urban,(941) 516-8000,Website,"$65,900",Most selective,9%,Jan. 2,Jan. 2,6:1,89%,"28,890(fall 2020)",NCAA III,"$58,720(2021-22)","$16,800(2021-22)",N/A,Yes,93,93%,93%,95%,74.3%,9%,6:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$70,Yes,May 29,9%,29%,Fall,12,3,No,N/A,No,No,Early decision only,Recommended,Recommended,N/A,Recommended,Required,Required,No,No,International Admissions Representative Office of International Services (410) 516-1013 intlhelp@jhu.edu,"Certificate, Diploma, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",BA or BS/BMBS/MBABA/MSBA/MABS/MSEBS/MSBA/MSEBA/MSPHBA/MHSAND 4 MORE ,No,No,17%,0.1%,,Offered at cooperating institution,Offered on campus,Offered at cooperating institution,"$29,342",Website,Yes,Yes,"$15,500","$6,937",$148,N/A,"$21,655",40%,140,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Student Arts Center, Student Recreation Center, Homewood Museum (historic house museum), Evergreen Museum & Library, Johns Hopkins Archaeological Museum, Baltimore Museum of Art (adjacent to campus).",Reading machinesVideotaped classesNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 10 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Partly,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Private, Coed",1851,None,Quarter,Suburban,(847) 491-3741,Website,"$61,100",Most selective,9%,Jan. 3,Jan. 3,6:1,85%,"22,072(fall 2020)",NCAA I,"$60,984(2021-22)","$18,213(2021-22)",N/A,Yes,93,95%,93%,95%,77.7%,6%,6:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$75,Yes,May 1,9%,25%,Fall,24,3,No,N/A,No,No,Early decision only,Required,Required,N/A,Required,Considered,Considered,No,N/A,International Student Specialist (847) 491-5615 intoff@northwestern.edu,"Certificate, Bachelor's, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",BS/BMusBA/BS in Liberal Arts and EngineeringBA/BAMusBachelors/Masters in MedillBA/BMus in Liberal Arts and MusicBachelors/Masters in Weinberg CollegeBSJ/BMus or BSJ/BAMus in Journalism and MusicBSEd/BMus or BSEd/BAMus in Education and MusicBA/BS in EngineeringBA/BMusMany other combined-degree programs - see on-line catalog.BS/BAMus in Communication and MusicBS/BMus or BS/BAMus in Engineering and MusicBachelors/Masters in McCormickBA/BS or BS/BS in Communication and EngineeringHPME - Weinberg College and Feinberg School of MedicineAND 11 MORE ,N/A,Yes,17%,N/A,,Offered at cooperating institution,Offered at cooperating institution,Offered on campus,"$24,664",Website,Yes,Yes,"$15,500","$8,667",$148,N/A,"$35,219",30%,231,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"Block Art Museum, Catalysis Center; Pick-Staiger Concert Hall; Dearborn Observatory; McCormick Tribune Center for use by students in the Medill School of Journalism; The Arthur and Gladys Pancoe-Evanston Northwestern Healthcare Life Sciences Pavilion; Center for Nanofabrication and Molecular Self-Assembly; Ford Motor Company Engineering Design Center; the Garage-student innovation and entrepreneurship hub; Ryan Center for the Musical Arts; Regenstein Hall of Music",Reading machinesNote-taking servicesExtended time for testsPriority registrationPriority seatingExams on tape or computerOther testing accommodations,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Fully,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
12,"Private, Coed",1769,None,Quarter,Rural,(603) 646-1110,Website,"$66,100",Most selective,9%,Jan. 2,Feb. 1,7:1,87%,"6,292(fall 2020)",NCAA I,"$60,870(2021-22)","$17,586(2021-22)",21%,Yes,91,95%,91%,95%,63.4%,6%,7:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$80,Yes,N/A,9%,26%,Fall,10,N/A,No,N/A,No,No,Early decision only,Required,Required,N/A,Required,Required,Required,No,No,Ali Duke Assistant Director of Admissions (603) 646-2875 admissions.reply@dartmouth.edu,"Bachelor's, Master's, Doctorate - professional practice, Doctorate - research/scholarship",M.D./Ph.D (Medicine & Engineering)M.D./M.B.A.A.B./M.S. [4+1] (Biophysical Chemistry)Ph.D/M.B.AM.D./Ph.D. (Medicine & Graduate Arts & Sciences)M.D./M.S. (Medicine & Engineering),No,No,15%,0.7%,,Not offered,Offered at cooperating institution,Not offered,"$33,574",Website,Yes,Yes,"$15,000","$5,747",$143,N/A,"$23,850",37%,237,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"The Hood Museum (arguably the oldest museum in continuous operation in North America); the Hopkins Center for the Performing Arts; the Black Family Visual Arts Center; Jaffe-Friede and Strauss art galleries; Shattuck Observatory; Biological Sciences Imaging Facility; Discovery Computer Cluster (2800+ core super computer); the Collis Center for Student Involvement; Dartmouth Skiway; Boathouse; Moosilauke Ravine Lodge; Second College Grant (27,000 acre wilderness area); Hanover Inn; Dartmouth Row",Reading machinesNote-taking servicesLearning centerExtended time for testsTutorsPriority registrationTypist/scribeExams on tape or computerOther testing accommodationsAND 4 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Private, Coed",1764,None,Semester,City,(401) 863-1000,Website,"$63,400",Most selective,8%,Jan. 5,Jan. 5,6:1,84%,"9,948(fall 2020)",NCAA I,"$62,404(2021-22)","$16,346(2021-22)",0%,Yes,88,95%,92%,96%,69.8%,11%,6:1,N/A,Neither SAT nor ACT,Nov. 1,$75,Yes,N/A,8%,18%,Fall,28,N/A,No,N/A,No,No,Early decision only,Recommended,Recommended,N/A,Recommended,Considered,Considered,No,No,Panetha Ott Director of International Admission (401) 863-2378 Panetha_Ott@brown.edu,"Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice, Doctorate - research/scholarship",Doctor of Medicine - Master of ScienceDoctor of Medicine - Doctor of PhilosophyBachelor of Arts - Bachelor of ScienceMaster of Public Health - Master of Public AffairsBachelor - MasterDoctor of Medicine - Master of Public AffairsBachelor of Arts (Brown) - Bachelor of Fine Arts (RISD)Master of Arts - Master of ScienceDoctor of Medicine - Master of Public HealthDoctor of Medicine - Master of Public PolicyAND 5 MORE ,No,No,14%,0.4%,,Offered at cooperating institution,Offered at cooperating institution,Offered at cooperating institution,"$29,392",Website,Yes,Yes,"$15,000","$7,500",$143,N/A,"$24,443",32%,146,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"David Winton Bell Gallery: prints, drawings, photographs from 1500 to present. Haffenreffer Museum of Anthropology: anthropological teaching museum with Native American, Eastern European, Mid-Eastern, Asian, Pacific, and African collections. John Nicholas Brown Center for Public Humanities and Cultural Heritage: archives of the Brown family. Annmary Brown Memorial: European and American paintings, Mazansky British Sword Collection, Brown family heirlooms. Granoff Center for the Creative Arts.",Reading machinesNote-taking servicesLearning centerExtended time for testsTutorsEarly syllabusPriority seatingExams on tape or computerOther testing accommodationsAND 4 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Partly,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Private, Coed",1873,None,Semester,Urban,(615) 322-7311,Website,"$63,600",Most selective,12%,Jan. 1,Jan. 1,8:1,88%,"13,537(fall 2020)",NCAA I,"$56,966(2021-22)","$18,376(2021-22)",N/A,Yes,88,93%,90%,93%,56.7%,13%,8:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$50,Yes,June 1,12%,21%,Fall,12,N/A,No,N/A,Yes,No,Early decision only,Required of some,Required of some,N/A,N/A,Required,Required,No,No,(800) 288-0432 isss@vanderbilt.edu,"Bachelor's, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",MD/MPHMD/MastersMD/MBAJD/MTSJD/MDMBA/MastersJD/MPPMPH/MAMBA/MPPMBA/MSNMBA/M.Div.Bachelor/MSFMD/M.Div.MD/M.Ed.BMU/M.Ed.MD/PhDJD/MSFMPP/LLMMPH/M.Ed.JD/MBAPhD/MBABachelor/MBAM.Div./MSNMD/MTSJD/M.Div.Bachelor of Music/MBAM.Div./M.Ed.DNP/MPHBachelors/MastersJD/PhDBachelor of Engineering/Master of EngineeringAND 26 MORE ,No,Yes,16%,0.1%,,Offered at cooperating institution,Offered on campus,Offered on campus,"$19,432",Website,Yes,Yes,"$14,962","$6,500",$143,N/A,"$22,808",20%,333,Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"The Wond’ry, Vanderbilt’s epicenter for innovation and entrepreneurship; the 230,000-square-foot Science and Engineering Bldg; Vanderbilt Fine Arts Gallery in Cohen Memorial Hall; Bronson Ingram Studio Arts Center; Dyer Observatory astronomical facility; Neely Auditorium for undergrad theatre; Curb Center for Art, Enterprise & Public Policy; English Language Center; Bishop Johnson Black Cultural Center; Community Partnership House; Margaret Cuninggim Women’s Center; Center for Student Wellbeing.",Reading machinesNote-taking servicesOral testsReadersExtended time for testsPriority registrationPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsWaiver of math degree requirementAND 7 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Private, Coed",1853,None,Semester,City,(314) 935-5000,Website,"$63,300",Most selective,16%,Jan. 3,Jan. 3,7:1,88%,"15,449(fall 2020)",NCAA III,"$58,866(2021-22)","$17,900(2021-22)",15%,Yes,88,95%,92%,95%,66.5%,8%,7:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$75,Yes,N/A,16%,35%,Fall,No,N/A,Yes,Website,No,Yes,Early decision only,Considered,Required of some,N/A,Required of some,Considered,Considered,No,No,Office of Undergraduate Admissions (314) 935-6000 admissions@wustl.edu,"Certificate, Associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",Combined programs in occupational therapyHost university for 3-2 social workHost university for 3-2 engineeringHost university for 3-2 businessJoint program in Business and Computer ScienceHost university for 3-2 physical therapyEngineering/ArchitectureHost university for 3-4 architecture,No,Yes,14%,0.1%,,Offered at cooperating institution,Offered on campus,Not offered,"$26,869",Website,Yes,Yes,"$16,500","$9,301",$157,N/A,"$19,649",28%,169,Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"12 university-wide and 56 school-based research centers and institutes, 59-acre medical campus, observatory, plant growth facility, international writer's center, laboratory science building, theater, art museum, maker space, state-of-the-art recreation facility, center for entrepreneurship and innovation, career centers, and state-of-the-art architecture and art studios",Other special classesNote-taking servicesLearning centerReadersExtended time for testsPriority seatingTypist/scribeExams on tape or computerOther testing accommodationsAND 4 MORE ,Note-taking servicesTape recordersSpecial housingAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Private, Coed",1865,None,Semester,Rural,(607) 255-2000,Website,"$67,900",Most selective,11%,Jan. 2,Jan. 2,9:1,89%,"23,620(fall 2020)",NCAA I,"$61,015(2021-22)","$16,446(2021-22)",N/A,Yes,87,95%,94%,96%,62.5%,14%,9:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$80,Yes,N/A,11%,N/A,"Fall, Spring",12,N/A,No,N/A,No,No,Early decision only,Required,Required,N/A,Required,Considered,Considered,No,No,Shawn Felton Executive Director of Undergraduate Admissions (607) 255-5241 Intl-inquiry@cornell.edu,"Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice, Doctorate - research/scholarship",N/A,No,No,16%,0.4%,N/A,Offered on campus,Offered on campus,Offered on campus,"$40,126",Website,Yes,Yes,"$14,661","$6,750",$140,N/A,"$30,254",39%,745,Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Herbert F. Johnson Museum of Art, Laboratory of Ornithology, Africana Studies and Research Center,  Cornell Botanic Gardens (Natural Areas and Living Plant Collections),  McGraw Tower (Cornell Chimes), Laboratory for Elementary-Particle Physics, Cornell High Energy Synchrotron Source, Veterinary Medical Center, Schwartz Center (Performing Arts), Duffield Hall (Nanotechnology), Rhodes Hall (Center for Advanced Computing), Willard Straight (Student Union).",Reading machinesNote-taking servicesLearning centerExtended time for testsPriority seatingExams on tape or computerOther testing accommodations,Note-taking servicesSpecial transportationSpecial housingAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impaired,Mostly,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
17,"Private, Coed",1912,None,Semester,Urban,(713) 348-0000,Website,"$67,500",Most selective,11%,Jan. 1,Dec. 31,6:1,85%,"7,643(fall 2020)",NCAA I,"$52,895(2021-22)","$14,800(2021-22)",19%,Yes,87,93%,90%,95%,69.4%,7%,6:1,Recommended,Neither SAT nor ACT,Nov. 1,$75,Yes,May 1,11%,20%,"Fall, Spring",12,3.2,No,N/A,No,No,Early decision only,Required of some,Required of some,N/A,Required of some,Required,Required,No,No,Adria Baker Executive Director Office of International Students and Scholars (713) 348-6095 abaker@rice.edu,"Bachelor's, Master's, Doctorate - research/scholarship","BA/MA/PhD Accelerated Degree Program in Biochemistry and Cell BiologyRice/Baylor College of Medicine Medical Scholars Program (MSP): 8 yrs-bachelors at Rice, MD from BaylorBMUS/MMUS Honors ProgramBA/PSM Natural and Social ScienceRice-UT Public Health Scholars Program: BA/BS-MPH",No,Yes,15%,0%,,Offered at cooperating institution,Offered at cooperating institution,Offered on campus,"$16,999",Website,Yes,Yes,"$11,989","$6,655",$114,N/A,"$24,188",23%,300,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,James A. Baker III Hall; Alice Pratt Brown Hall; Edythe Bates Hall Grand Organ; Ryon Engineering Laboratory (with civil engineering structural test bay); Rice University campus observatory; Media Center; Hamman Hall; greenhouse; Turrell Skyspace; Bioscience Research Collaborative; Oshman Engineering Design Kitchen; Moody Center for the Arts; Center for Languages and Intercultural Communication; Rice NanoFabrication Facility; NMR spectrometry; Brockman Opera Hall,Reading machinesNote-taking servicesExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingExams on tape or computerOther testing accommodationsAND 4 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Private, Coed",1842,Roman Catholic,Semester,Suburban,(574) 631-5000,Website,"$65,000",Most selective,19%,Jan. 1,Feb. 28,8:1,93%,"12,809(fall 2020)",NCAA I,"$58,843(2021-22)","$16,304(2021-22)",8%,Yes,85,96%,94%,97%,58.8%,11%,8:1,Neither required/recommended,Neither SAT nor ACT,N/A,$75,Yes,May 1,19%,N/A,"Fall, Spring",27,3,Yes,Website,No,No,Early action only,Considered,Required of some,N/A,Required of some,N/A,N/A,No,No,Mary deVilliers International Admissions Program Director (574) 631-7505 mdevilli@nd.edu,"Bachelor's, Master's, Doctorate - professional practice, Doctorate - research/scholarship",Law and BusinessArts and Letters/Engineering BA/BS in Engr.Engineering and Business-BS in Engr/MBAScience and Business-BS/MBA,No,Yes,10%,N/A,,Offered on campus,Offered on campus,Offered on campus,"$33,025",Website,Yes,Yes,"$19,000","$7,250",$181,N/A,"$28,696",41%,"1,265",Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,Alliance for Catholic Ed; Shaw Ctr Childrn & Families; Klau Ctr Civil & Human Rights; Cushwa Ctr Study of Amer Catholicism; diNicola Ctr Ethics & Culture; Ctr Nano Science & Tech; Eck Inst Global Health; Envrnmntal Resrch Ctr (UNDERC); Hessert Lab Aerospace Resrch (w/ wind tunnels); McGrath Inst Church Life; Inst Ethical Business; Kellogg Inst Intl Stdies; Kroc Inst Intl Peace Stdies; Keough-Naughton Inst Irish Stdies; Liu Inst Asia/Asian Stdies; Nanovic Inst European Stdies; Snite Museum of Art,Reading machinesNote-taking servicesOral testsReadersExtended time for testsTutorsPriority registrationPriority seatingProofreading servicesSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsWaiver of foreign language degree requirementAND 9 MORE ,Note-taking servicesTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
19,"Public, Coed",1919,None,Quarter,Urban,(310) 825-4321,Website,"$58,500",Most selective,14%,Nov. 30,Jan. 15,18:1,81%,"46,000(fall 2020)",NCAA I,,"$16,667(2021-22)",N/A,Yes,84,91%,88%,93%,48%,23%,18:1,Neither required/recommended,Neither SAT nor ACT,N/A,$70,No,N/A,14%,N/A,Fall,90,2.4,No,N/A,No,No,Neither early decision nor early action,Required,Required,N/A,Required,Required,Required,No,N/A,(310) 825-1681,"Bachelor's, Master's, Doctorate - professional practice, Doctorate - research/scholarship",N/A,No,Yes,31%,1.8%,,Offered on campus,Offered on campus,Offered on campus,"$14,279",Website,Yes,Yes,"$15,000","$11,000",$143,N/A,"$20,305",40%,419,N/A,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"MUSEUMS--Fowler Museum, Hammer Museum of Art and Culture Center, Grunwald Center for Graphic Arts, New Wright Gallery; GARDENS--Mildred E. Mathias Botanical Garden, Franklin D. Murphy Sculpture Garden, Hannah Carter Japanese Garden; ART--Eli and Edythe Broad Art Center; DANCE--Glorya Kaufman Hall; THEATER--Geffen Playhouse, Macgowan Little Theater, Freud Playhouse, Billy Wilder Theater; MUSIC--Royce Hall, Schoenberg Hall, Pauley Pavilion, Los Angeles Tennis Center; FILM--James Bridges Theater",Reading machinesNote-taking servicesReadersExtended time for testsEarly syllabusPriority registrationPriority seatingTypist/scribeExams on tape or computerOther testing accommodationsAND 5 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Fully,,,,,,"$13,268(2021-22)","$43,022(2021-22)",,,,,,,,,,,,,,,,,,
20,"Private, Coed",1836,United Methodist,Semester,City,(404) 727-6123,Website,"$60,200",Most selective,19%,Jan. 1,Jan. 1,9:1,82%,"14,002(fall 2020)",NCAA III,"$55,468(2021-22)","$16,302(2021-22)",N/A,Yes,83,90%,87%,91%,56.6%,13%,9:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$75,Yes,May 1,19%,27%,Fall,28,3,N/A,N/A,No,No,Early decision only,Considered,Recommended,N/A,Recommended,Considered,Considered,No,No,(404) 727-3300 isss@emory.edu,"Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship","Film/Cinema StudiesBA/MSPH Program in BiostatisticsEnvironmental ScienceEnglish Language and LiteratureComputer ScienceAccelerated BSN + MSNBiomedical Sciences, GeneralBS/MPH 5-Year Environmental Sciences (ENVS) and Environmental Health (EH) ProgramBBA/MPA combined degreeAND 4 MORE ",No,Yes,21%,0.3%,,Offered at cooperating institution,Offered at cooperating institution,Offered at cooperating institution,"$23,734",Website,Yes,Yes,"$16,500","$7,436",$157,N/A,"$26,331",33%,631,Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"Michael C. Carlos Museum
The Museum of the Jimmy Carter Library",Other special classesVideotaped classesDiagnostic testing serviceNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsPriority registrationPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerAND 9 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
